Language classification,Flanker effect,No-go accuracy
dlc,106.7306150856349,0.84375
mono,88.9438524590164,0.9375
slc,60.96070312499995,0.875
slc,141.67957155514114,0.9375
slc,109.56903061224489,0.71875
slc,139.81481248552086,0.8125
slc,136.56853384026732,0.8125
dlc,93.82166419441967,0.90625
slc,76.52894467213116,0.90625
slc,101.79347592182387,0.875
dlc,104.12443804824568,0.90625
dlc,144.52334400199788,0.875
dlc,120.88757811874996,1
mono,90.03222159412098,0.71875
mono,96.36479042658726,0.84375
mono,107.92740046838406,0.71875
dlc,121.71269502880159,0.84375
slc,115.19649445564517,0.875
dlc,84.046875,0.9375
dlc,80.47677304258474,0.90625
mono,74.04881803659282,0.9375
mono,85.38319672131149,0.9375
dlc,12.522952380952347,0.75
mono,58.68502281616691,0.71875
mono,87.37192540322576,0.75
dlc,122.19504005473038,0.78125
dlc,95.53726562500003,0.96875
mono,194.6182405165456,0.875
slc,68.71379310344821,0.90625
mono,112.1366567460318,0.90625
dlc,116.12079889112903,0.78125
dlc,137.57712262394068,0.875
slc,83.81046875000004,1
dlc,172.34795340199787,0.96875
mono,91.5085847848361,0.8125
mono,58.06484373906244,0.9375
slc,87.28672883064513,0.875
dlc,136.35127878289478,1
slc,98.42441784596781,0.90625
dlc,109.13562871555064,0.96875
slc,77.81750000156256,0.9375
slc,117.14899629237289,0.8125
mono,94.07851562500002,0.78125
slc,103.32965280114087,0.9375
mono,95.078125,1
dlc,105.4041406296875,0.96875
dlc,151.01853718658407,0.65625
mono,102.54835765809003,0.875
slc,123.5614919354839,0.9375
dlc,39.44937159252254,0.96875
mono,145.43623991935488,0.9375
slc,44.293194139194156,0.875
dlc,125.99878596230167,1
dlc,92.4869345238343,0.90625
slc,159.65153769841265,0.9375
slc,101.69615203373007,0.90625
dlc,100.02595583855106,0.90625
mono,110.89759344598053,0.96875
slc,107.08470833677086,0.8125
slc,65.44112969965283,0.9375
mono,75.52476561986612,0.90625
slc,123.62876191912699,0.90625
dlc,92.54016790058165,0.75
dlc,79.29232992826906,0.03125
mono,126.72343749999999,0.875
slc,132.6552431230898,0.9375
mono,127.58018725364582,0.96875
mono,124.08988542302086,0.65625
mono,86.55210937187502,0.96875
mono,51.52908482455348,0.9375
dlc,73.00777247069038,0.84375
slc,64.85779737903226,0.78125
dlc,108.33882594417082,0.9375
slc,60.05105902934031,0.9375
mono,61.87628201844262,0.84375
dlc,43.980216444672124,0.84375
slc,69.4375,0.96875
dlc,41.05004234972671,0.9375
slc,96.33328673245614,0.96875
mono,87.53148148148148,0.71875
dlc,100.95476818834527,0.8125
mono,32.560795873249845,0.9375
mono,115.304109375,0.8125
dlc,97.18980532786884,0.625
slc,145.78860785844392,0.78125
mono,144.17055646132133,0.9375
slc,10.34428848283494,0.9375
dlc,188.55089912280704,0.78125
dlc,127.92328268553979,0.875
mono,80.42718750468754,1
dlc,87.28434895501641,0.9375
slc,93.03356681034484,0.84375
mono,94.30744748975405,0.90625
slc,155.8221554815574,0.96875
dlc,87.24414062343749,0.9375
mono,60.406249996874976,1
mono,143.14700644841275,0.96875
